entry_time,direction,entry,stop,target,exit_price,exit_time,outcome,r_multiple,pnl,confidence,zone_type
2022-12-08 08:15:00,short,1784.175,1784.2757642857143,1783.417,1783.417,2022-12-08 08:20:00,win,7.522506557022029,510.2020677083536,2,CISD+zone
2022-12-13 08:30:00,short,1785.335,1785.4032357142858,1784.935,1785.4032357142858,2022-12-13 08:35:00,loss,-1.0,-140.7488463304545,5,CISD+BKR
2022-12-14 07:35:00,short,1809.305,1809.1515285714286,1808.058,1808.058,2022-12-14 07:40:00,win,8.125290887086338,566.094532636095,2,CISD+zone
2022-12-14 12:00:00,short,1806.405,1806.478792857143,1805.195,1806.478792857143,2022-12-14 12:05:00,loss,-1.0,-72.50115159675545,2,CISD+zone
2022-12-15 07:10:00,short,1792.335,1793.1099785714287,1789.505,1793.1099785714287,2022-12-15 07:15:00,loss,-1.0,-72.13864583877168,2,CISD+zone
2022-12-27 13:40:00,short,1807.525,1807.9133785714287,1805.835,1807.9133785714287,2022-12-27 13:45:00,loss,-1.0,-71.77795260957781,3,CISD+FVG
2022-12-30 07:40:00,short,1816.825,1817.749507142857,1804.205,1817.749507142857,2022-12-30 08:10:00,loss,-1.0,-142.83812569305985,5,CISD+BKR
2022-12-30 13:25:00,short,1817.635,1817.550642857143,1815.855,1817.550642857143,2022-12-30 13:30:00,loss,1.0,70.70487221806462,3,CISD+FVG
2023-01-10 07:15:00,short,1871.915,1872.3522857142857,1867.745,1872.3522857142857,2023-01-10 07:35:00,loss,-1.0,-71.05839657915494,2,CISD+zone
2023-01-12 14:45:00,short,1886.618,1886.5724071428572,1886.448,1886.448,2023-01-12 14:50:00,win,3.7286542378233647,263.62743058011034,3,CISD+FVG
2023-01-13 09:25:00,short,1905.675,1905.6774357142856,1899.695,1905.6774357142856,2023-01-13 10:20:00,loss,-1.0,-72.02124174915971,3,CISD+FVG
2023-01-17 07:00:00,short,1908.835,1908.9419928571428,1907.987,1907.987,2023-01-17 07:05:00,win,7.925762734497778,567.969157578007,2,CISD+zone
2023-01-23 14:20:00,short,1918.985,1919.242657142857,1915.315,1919.242657142857,2023-01-23 14:25:00,loss,-1.0,-74.50098132830395,2,CISD+zone
2023-01-24 13:15:00,short,1935.615,1936.8393642857143,1930.675,1930.675,2023-01-24 13:50:00,win,4.034746894890145,598.1792801304798,4,CISD+IFVG
2023-01-25 07:35:00,short,1929.415,1929.4225428571428,1928.235,1928.235,2023-01-25 07:45:00,win,156.43939393892487,12064.507945272928,2,CISD+zone
2023-01-25 08:55:00,short,1929.225,1929.5939142857142,1927.795,1929.5939142857142,2023-01-25 09:20:00,loss,-1.0,-137.44191254867948,2,CISD+zone
2023-02-02 09:15:00,short,1954.325,1954.7205714285715,1952.765,1954.7205714285715,2023-02-02 09:20:00,loss,-1.0,-273.5094059718721,5,CISD+BKR
2023-02-07 07:20:00,short,1873.308,1873.8602928571427,1868.265,1873.8602928571427,2023-02-07 07:25:00,loss,-1.0,-270.77431191215345,5,CISD+BKR
2023-02-09 12:00:00,long,1882.405,1881.530107142857,1885.735,1881.530107142857,2023-02-09 12:35:00,loss,-1.0,-134.03328439651594,2,CISD+zone
2023-02-10 13:30:00,short,1863.245,1863.3145928571428,1862.248,1863.3145928571428,2023-02-10 13:35:00,loss,-1.0,-266.72623594906673,4,CISD+IFVG
2023-02-16 14:55:00,short,1829.495,1829.6867142857143,1827.565,1827.565,2023-02-16 15:05:00,win,10.06706408345082,2658.2986089365095,4,CISD+FVG
2023-02-23 07:20:00,short,1829.625,1830.69475,1823.425,1830.69475,2023-02-23 07:35:00,loss,-1.0,-290.64195967894113,5,CISD+BKR
2023-02-23 13:30:00,short,1823.854,1823.7911285714285,1823.425,1823.425,2023-02-23 13:35:00,win,6.823449216081134,981.6744227061199,3,CISD+FVG
2023-02-24 07:50:00,short,1822.645,1822.5945428571429,1817.395,1822.5945428571429,2023-02-24 08:20:00,loss,1.0,148.77614215460648,2,CISD+zone
2023-02-28 12:00:00,short,1809.655,1809.6180785714287,1809.145,1809.145,2023-02-28 12:05:00,win,13.813116657039897,2065.33751840276,2,CISD+zone
2023-03-01 07:40:00,short,1834.085,1834.2214357142857,1832.405,1834.2214357142857,2023-03-01 07:50:00,loss,-1.0,-159.84671045739327,3,CISD+FVG
2023-03-02 12:30:00,short,1832.715,1833.2073,1830.945,1830.945,2023-03-02 12:40:00,win,3.5953686776347196,571.8343167214507,2,CISD+zone
2023-03-03 12:25:00,short,1846.585,1846.526992857143,1846.178,1846.526992857143,2023-03-03 12:30:00,loss,1.0,161.90664848871359,3,CISD+FVG
2023-03-06 08:25:00,short,1854.685,1855.77145,1850.668,1850.668,2023-03-06 09:55:00,win,3.697362971144556,1203.2415702776175,5,CISD+BKR
2023-03-07 07:05:00,short,1846.615,1846.6278857142859,1845.275,1846.6278857142859,2023-03-07 07:10:00,loss,-1.0,-168.73238958254527,2,CISD+zone
2023-03-07 08:20:00,short,1847.075,1846.9306142857145,1845.785,1846.9306142857145,2023-03-07 08:25:00,loss,1.0,167.88872763463252,3,CISD+FVG
2023-03-07 12:10:00,short,1841.175,1841.3812928571429,1840.295,1840.295,2023-03-07 12:30:00,win,4.265780270764823,719.7573041377625,3,CISD+FVG
2023-03-08 12:25:00,short,1814.405,1814.6713142857143,1813.438,1814.6713142857143,2023-03-08 12:30:00,loss,-1.0,-344.65391558698906,5,CISD+BKR
2023-03-09 12:30:00,short,1817.568,1818.05865,1811.805,1818.05865,2023-03-09 12:50:00,loss,-1.0,-341.20737643111914,5,CISD+BKR
2023-03-14 13:35:00,short,1903.915,1905.2424785714286,1898.908,1898.908,2023-03-14 13:40:00,win,3.7718122972121084,637.0502382695761,2,CISD+zone
2023-03-15 07:55:00,short,1896.875,1897.1492857142857,1895.228,1895.228,2023-03-15 08:00:00,win,6.004687499999533,1033.3040537540155,2,CISD+zone
2023-03-16 07:10:00,short,1913.825,1914.3681428571429,1911.905,1914.3681428571429,2023-03-16 07:15:00,loss,-1.0,-177.24942279352192,2,CISD+zone
2023-03-16 09:30:00,short,1918.724,1919.2069071428573,1916.355,1919.2069071428573,2023-03-16 09:35:00,loss,-1.0,-176.3631756795543,2,CISD+zone
2023-03-20 09:30:00,short,1991.334,1991.6751357142857,1985.268,1991.6751357142857,2023-03-20 09:35:00,loss,-1.0,-350.96271960231303,5,CISD+BKR
2023-03-22 07:15:00,short,1939.685,1939.70615,1938.985,1938.985,2023-03-22 07:20:00,win,33.09692671389663,5749.814767943866,2,CISD+zone
2023-03-27 08:35:00,short,1969.015,1969.4267857142859,1966.525,1969.4267857142859,2023-03-27 08:40:00,loss,-1.0,-202.47562004286434,2,CISD+zone
2023-03-28 09:00:00,short,1950.835,1950.6930571428572,1949.028,1950.6930571428572,2023-03-28 09:05:00,loss,1.0,201.46324194265,2,CISD+zone
2023-03-31 12:15:00,short,1978.675,1980.0390285714286,1973.095,1980.0390285714286,2023-03-31 12:30:00,loss,-1.0,-404.94111630472645,4,CISD+IFVG
2023-03-31 14:15:00,short,1977.635,1977.7720285714286,1976.125,1977.7720285714286,2023-03-31 14:25:00,loss,-1.0,-200.4458525708396,5,CISD+BKR
2023-04-04 07:30:00,short,1980.285,1980.7323785714286,1978.055,1980.7323785714286,2023-04-04 07:45:00,loss,-1.0,-199.4436233079854,2,CISD+zone
